date;age;sex;vrs_cases
2009-09-01;0;Female;1
2009-09-01;0;Male;7
2009-09-01;1;Male;2
2009-09-01;4;Male;1
2009-09-02;0;Female;1
2009-09-02;0;Male;7
2009-09-02;1;Male;3
2009-09-02;2;Male;1
2009-09-02;3;Male;2
2009-09-03;0;Female;3
2009-09-03;0;Male;6
2009-09-03;3;Female;1
2009-09-04;0;Female;2
2009-09-04;0;Male;7
2009-09-04;1;Female;1
2009-09-04;1;Male;2
2009-09-04;2;Female;1
2009-09-04;2;Male;1
2009-09-04;3;Female;1
2009-09-05;0;Male;4
2009-09-07;0;Female;6
2009-09-07;0;Male;5
2009-09-07;1;Male;3
2009-09-07;2;Male;2
2009-09-07;4;Male;2
2009-09-08;0;Female;4
2009-09-08;0;Male;7
2009-09-08;1;Female;2
2009-09-09;0;Female;3
2009-09-09;0;Male;7
2009-09-09;1;Female;2
2009-09-09;1;Male;1
2009-09-09;2;Female;2
2009-09-09;2;Male;1
2009-09-10;0;Female;4
2009-09-10;0;Male;3
2009-09-10;1;Female;2
2009-09-10;1;Male;1
2009-09-10;4;Male;1
2009-09-11;2;Male;1
2009-09-12;0;Male;3
2009-09-12;1;Female;1
2009-09-12;2;Male;1
2009-09-13;0;Male;1
2009-09-14;0;Female;8
2009-09-14;0;Male;14
2009-09-14;1;Female;2
2009-09-14;1;Male;3
2009-09-14;2;Male;3
2009-09-15;0;Female;4
2009-09-15;0;Male;13
2009-09-15;1;Female;3
2009-09-15;1;Male;1
2009-09-16;0;Female;6
2009-09-16;0;Male;10
2009-09-16;1;Female;3
2009-09-16;1;Male;1
2009-09-16;3;Female;2
2009-09-16;4;Male;1
2009-09-17;0;Female;10
2009-09-17;0;Male;5
2009-09-17;1;Female;1
2009-09-17;1;Male;5
2009-09-17;3;Male;1
2009-09-18;0;Female;5
2009-09-18;0;Male;12
2009-09-18;1;Female;1
2009-09-18;1;Male;1
2009-09-18;2;Female;1
2009-09-18;2;Male;2
2009-09-18;4;Male;1
2009-09-19;0;Female;1
2009-09-19;0;Male;3
2009-09-19;1;Male;1
2009-09-19;2;Female;1
2009-09-20;0;Male;4
2009-09-20;1;Male;1
2009-09-20;3;Male;1
2009-09-21;0;Female;15
2009-09-21;0;Male;12
2009-09-21;1;Female;7
2009-09-21;1;Male;6
2009-09-21;2;Female;2
2009-09-21;2;Male;2
2009-09-21;3;Female;1
2009-09-21;3;Male;1
2009-09-21;4;Male;4
2009-09-22;0;Female;11
2009-09-22;0;Male;15
2009-09-22;1;Female;4
2009-09-22;1;Male;8
2009-09-22;2;Male;4
2009-09-22;3;Female;2
2009-09-22;3;Male;1
2009-09-22;4;Male;2
2009-09-23;0;Female;6
2009-09-23;0;Male;18
2009-09-23;1;Female;8
2009-09-23;1;Male;5
2009-09-23;2;Male;3
2009-09-23;3;Male;1
2009-09-23;4;Male;1
2009-09-24;0;Female;7
2009-09-24;0;Male;20
2009-09-24;1;Female;4
2009-09-24;1;Male;5
2009-09-24;2;Female;1
2009-09-24;3;Female;1
2009-09-25;0;Female;3
2009-09-25;0;Male;21
2009-09-25;1;Female;4
2009-09-25;1;Male;6
2009-09-25;2;Male;2
2009-09-25;3;Male;3
2009-09-25;4;Male;2
2009-09-26;0;Female;2
2009-09-26;0;Male;1
2009-09-27;2;Male;1
2009-09-27;3;Female;1
2009-09-28;0;Female;18
2009-09-28;0;Male;34
2009-09-28;1;Female;6
2009-09-28;1;Male;4
2009-09-28;2;Female;3
2009-09-28;2;Male;3
2009-09-28;3;Male;1
2009-09-28;4;Male;1
2009-09-29;0;Female;10
2009-09-29;0;Male;27
2009-09-29;1;Female;3
2009-09-29;1;Male;9
2009-09-29;2;Female;2
2009-09-29;3;Female;1
2009-09-30;0;Female;14
2009-09-30;0;Male;25
2009-09-30;1;Female;9
2009-09-30;1;Male;6
2009-09-30;2;Male;2
2009-09-30;3;Female;1
2009-09-30;4;Male;1
2009-10-01;0;Female;5
2009-10-01;0;Male;28
2009-10-01;1;Female;3
2009-10-01;1;Male;15
2009-10-01;2;Female;5
2009-10-01;2;Male;1
2009-10-01;3;Male;2
2009-10-01;4;Male;1
2009-10-02;0;Female;15
2009-10-02;0;Male;22
2009-10-02;1;Female;1
2009-10-02;1;Male;9
2009-10-02;2;Female;1
2009-10-02;3;Male;3
2009-10-03;0;Male;1
2009-10-03;3;Female;1
2009-10-04;0;Female;1
2009-10-04;0;Male;1
2009-10-04;4;Female;1
2009-10-05;0;Female;18
2009-10-05;0;Male;28
2009-10-05;1;Female;6
2009-10-05;1;Male;5
2009-10-05;2;Female;2
2009-10-05;2;Male;1
2009-10-05;3;Female;1
2009-10-06;0;Female;12
2009-10-06;0;Male;25
2009-10-06;1;Female;4
2009-10-06;1;Male;4
2009-10-06;2;Female;1
2009-10-06;2;Male;1
2009-10-06;3;Male;1
2009-10-06;4;Female;1
2009-10-07;0;Female;15
2009-10-07;0;Male;12
2009-10-07;1;Female;9
2009-10-07;1;Male;3
2009-10-07;2;Female;3
2009-10-07;3;Male;1
2009-10-08;0;Female;9
2009-10-08;0;Male;21
2009-10-08;1;Female;7
2009-10-08;1;Male;5
2009-10-08;3;Male;1
2009-10-08;4;Female;1
2009-10-09;0;Female;21
2009-10-09;0;Male;30
2009-10-09;1;Female;6
2009-10-09;1;Male;7
2009-10-09;2;Female;2
2009-10-09;2;Male;1
2009-10-09;3;Male;1
2009-10-10;0;Female;1
2009-10-10;0;Male;6
2009-10-10;2;Male;1
2009-10-11;0;Female;2
2009-10-11;0;Male;2
2009-10-11;1;Female;1
2009-10-11;2;Female;1
2009-10-11;4;Male;1
2009-10-12;0;Female;1
2009-10-12;0;Male;3
2009-10-12;1;Female;1
2009-10-13;0;Female;24
2009-10-13;0;Male;38
2009-10-13;1;Female;10
2009-10-13;1;Male;8
2009-10-13;2;Female;1
2009-10-13;2;Male;4
2009-10-13;3;Female;1
2009-10-13;3;Male;1
2009-10-13;4;Female;1
2009-10-13;4;Male;1
2009-10-14;0;Female;16
2009-10-14;0;Male;24
2009-10-14;1;Female;6
2009-10-14;1;Male;8
2009-10-14;2;Female;1
2009-10-14;4;Male;1
2009-10-15;0;Female;15
2009-10-15;0;Male;15
2009-10-15;1;Female;3
2009-10-15;1;Male;10
